season,player,player_full,position,appearances
2007/2008,Sylvinho,Sylvio Mendes Campos Junior,Left Back,6
2007/2008,Giovani dos Santos,Giovani dos Santos Ramírez,Right Center Midfield,1
2007/2008,Eiður Guðjohnsen,Eiður Smári Guðjohnsen,Left Center Midfield,7
2007/2008,Thierry Henry,Thierry Henry,Left Wing,8
2007/2008,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,6
2007/2008,Xavi,Xavier Hernández Creus,Center Defensive Midfield,3
2007/2008,José Manuel Pinto,José Manuel Pinto Colorado,Goalkeeper,2
2007/2008,Bojan,Bojan Krkíc Pérez,Center Forward,7
2007/2008,Samuel Eto'o,Samuel Eto''o Fils,Right Wing,2
2007/2008,Edmilson,José Edmílson Gomes de Moraes,Center Defensive Midfield,4
2007/2008,Carles Puyol,Carles Puyol i Saforcada,Right Back,5
2007/2008,Rafael Márquez,Rafael Márquez Álvarez,Center Defensive Midfield,3
2007/2008,Bojan,Bojan Krkíc Pérez,Right Wing,1
2007/2008,Giovani dos Santos,Giovani dos Santos Ramírez,Left Wing,2
2007/2008,Giovani dos Santos,Giovani dos Santos Ramírez,Right Wing,4
2007/2008,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,1
2007/2008,Yaya Touré,Gnégnéri Yaya Touré,Right Center Midfield,1
2007/2008,Deco,Anderson Luís de Souza,Right Center Midfield,2
2007/2008,Lionel Messi,Lionel Andrés Messi Cuccittini,Left Wing,2
2007/2008,Santiago Ezquerro,Santiago Ezquerro Marín,Left Wing,1
2007/2008,Eiður Guðjohnsen,Eiður Smári Guðjohnsen,Center Forward,1
2006/2007,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,19
2006/2007,Lilian Thuram,Lilian Thuram,Right Center Back,14
2006/2007,Gianluca Zambrotta,Gianluca Zambrotta,Right Back,18
2006/2007,Giovanni van Bronckhorst,Giovanni van Bronckhorst,Left Back,14
2006/2007,Samuel Eto'o,Samuel Eto''o Fils,Center Forward,16
2006/2007,Deco,Anderson Luís de Souza,Right Center Midfield,5
2006/2007,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,17
2006/2007,Xavi,Xavier Hernández Creus,Left Center Midfield,6
2006/2007,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,26
2006/2007,Ronaldinho,Ronaldo de Assis Moreira,Left Wing,21
2006/2007,Edmilson,José Edmílson Gomes de Moraes,Center Defensive Midfield,12
2006/2007,Andrés Iniesta,Andrés Iniesta Luján,Left Wing Back,1
2006/2007,Lionel Messi,Lionel Andrés Messi Cuccittini,Left Wing,4
2006/2007,Rafael Márquez,Rafael Márquez Álvarez,Left Defensive Midfield,2
2006/2007,Lilian Thuram,Lilian Thuram,Center Back,2
2006/2007,Deco,Anderson Luís de Souza,Right Defensive Midfield,1
2006/2007,Xavi,Xavier Hernández Creus,Right Wing Back,1
2006/2007,Oleguer,Oleguer Presas Renom,Right Center Back,3
2006/2007,Ludovic Giuly,Ludovic Giuly,Right Wing,5
2006/2007,Ronaldinho,Ronaldo de Assis Moreira,Center Forward,2
2006/2007,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,4
2006/2007,Rafael Márquez,Rafael Márquez Álvarez,Center Back,1
2006/2007,Gianluca Zambrotta,Gianluca Zambrotta,Right Wing Back,1
2006/2007,Giovanni van Bronckhorst,Giovanni van Bronckhorst,Left Wing Back,1
2006/2007,Xavi,Xavier Hernández Creus,Right Center Midfield,8
2006/2007,Oleguer,Oleguer Presas Renom,Right Back,2
2006/2007,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,12
2006/2007,Deco,Anderson Luís de Souza,Left Center Midfield,15
2006/2007,Xavi,Xavier Hernández Creus,Center Defensive Midfield,6
2006/2007,Thiago Motta,Thiago Motta,Center Defensive Midfield,2
2006/2007,Rafael Márquez,Rafael Márquez Álvarez,Left Center Back,6
2006/2007,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,6
2006/2007,Andrés Iniesta,Andrés Iniesta Luján,Center Defensive Midfield,1
2006/2007,Xavi,Xavier Hernández Creus,Right Defensive Midfield,1
2006/2007,Andrés Iniesta,Andrés Iniesta Luján,Right Wing,2
2006/2007,Eiður Guðjohnsen,Eiður Smári Guðjohnsen,Center Forward,6
2006/2007,Gianluca Zambrotta,Gianluca Zambrotta,Left Back,2
2006/2007,Sylvinho,Sylvio Mendes Campos Junior,Left Back,7
2006/2007,Juliano Belletti,Juliano Haus Belletti,Right Back,3
2006/2007,Lilian Thuram,Lilian Thuram,Left Center Back,2
2006/2007,Samuel Eto'o,Samuel Eto''o Fils,Left Wing,1
2006/2007,Rafael Márquez,Rafael Márquez Álvarez,Center Defensive Midfield,2
2006/2007,Edmilson,José Edmílson Gomes de Moraes,Left Center Back,1
2006/2007,Javier Saviola,Javier Pedro Saviola Fernández,Center Forward,2
2006/2007,Rafael Márquez,Rafael Márquez Álvarez,Right Center Back,3
2005/2006,Rafael Márquez,Rafael Márquez Álvarez,Left Center Back,8
2005/2006,Mark van Bommel,Mark van Bommel,Left Center Midfield,1
2005/2006,Samuel Eto'o,Samuel Eto''o Fils,Center Forward,13
2005/2006,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,13
2005/2006,Xavi,Xavier Hernández Creus,Right Center Midfield,4
2005/2006,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,17
2005/2006,Sylvinho,Sylvio Mendes Campos Junior,Left Back,12
2005/2006,Oleguer,Oleguer Presas Renom,Right Back,10
2005/2006,Ludovic Giuly,Ludovic Giuly,Right Wing,6
2005/2006,Ronaldinho,Ronaldo de Assis Moreira,Left Wing,15
2005/2006,Edmilson,José Edmílson Gomes de Moraes,Center Defensive Midfield,13
2005/2006,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,1
2005/2006,Rafael Márquez,Rafael Márquez Álvarez,Right Center Back,4
2005/2006,Henrik Larsson,Henrik Larsson,Center Forward,4
2005/2006,Mark van Bommel,Mark van Bommel,Right Center Midfield,4
2005/2006,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,4
2005/2006,Thiago Motta,Thiago Motta,Right Center Midfield,2
2005/2006,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,10
2005/2006,Deco,Anderson Luís de Souza,Left Center Midfield,11
2005/2006,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,5
2005/2006,Samuel Eto'o,Samuel Eto''o Fils,Right Wing,1
2005/2006,Juliano Belletti,Juliano Haus Belletti,Right Back,7
2005/2006,Oleguer,Oleguer Presas Renom,Left Center Back,5
2005/2006,Thiago Motta,Thiago Motta,Center Defensive Midfield,1
2005/2006,Xavi,Xavier Hernández Creus,Left Center Midfield,1
2005/2006,Giovanni van Bronckhorst,Giovanni van Bronckhorst,Left Back,5
2005/2006,Thiago Motta,Thiago Motta,Left Center Midfield,1
2005/2006,Deco,Anderson Luís de Souza,Right Center Midfield,2
2005/2006,Rafael Márquez,Rafael Márquez Álvarez,Center Defensive Midfield,2
2005/2006,Andrés Iniesta,Andrés Iniesta Luján,Left Wing,1
2005/2006,Mark van Bommel,Mark van Bommel,Center Defensive Midfield,1
2005/2006,Gabri,Gabriel Francisco García de la Torre,Left Center Midfield,2
2005/2006,Lionel Messi,Lionel Andrés Messi Cuccittini,Left Wing,1
2004/2005,Andrés Iniesta,Andrés Iniesta Luján,Right Wing,2
2004/2005,Rafael Márquez,Rafael Márquez Álvarez,Center Defensive Midfield,5
2004/2005,Giovanni van Bronckhorst,Giovanni van Bronckhorst,Left Back,7
2004/2005,Samuel Eto'o,Samuel Eto''o Fils,Center Forward,5
2004/2005,Deco,Anderson Luís de Souza,Left Center Midfield,4
2004/2005,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,4
2004/2005,Xavi,Xavier Hernández Creus,Right Center Midfield,2
2004/2005,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,6
2004/2005,Juliano Belletti,Juliano Haus Belletti,Right Back,5
2004/2005,Oleguer,Oleguer Presas Renom,Right Center Back,4
2004/2005,Ronaldinho,Ronaldo de Assis Moreira,Left Wing,7
2004/2005,Ludovic Giuly,Ludovic Giuly,Right Wing,3
2004/2005,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,2
2004/2005,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,1
2004/2005,Rubén Martínez,Rubén Iván Martínez Andrade,Goalkeeper,1
2004/2005,Deco,Anderson Luís de Souza,Right Center Midfield,3
2004/2005,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,2
2004/2005,Xavi,Xavier Hernández Creus,Center Defensive Midfield,2
2004/2005,Juliano Belletti,Juliano Haus Belletti,Right Wing,1
2004/2005,Oleguer,Oleguer Presas Renom,Left Center Back,3
2004/2005,Damià,Damià Abella Pérez,Right Back,2
2004/2005,Xavi,Xavier Hernández Creus,Left Center Midfield,2
2004/2005,Rafael Márquez,Rafael Márquez Álvarez,Right Center Back,1
2004/2005,Maxi López,Maximiliano Gastón López,Center Forward,1
2004/2005,Henrik Larsson,Henrik Larsson,Center Forward,1
2004/2005,Samuel Eto'o,Samuel Eto''o Fils,Right Wing,1
1973/1974,Johan Cruyff,Johan Cruyff,Center Forward,1
1973/1974,Pere Valentí Mora,Pere Valentí Mora Mariné,Goalkeeper,1
1973/1974,Antonio Torres,Antonio Torres García,Right Center Back,1
1973/1974,Toño de la Cruz,Jesus Antonio de la Cruz Gallego,Left Back,1
1973/1974,Joaquim Rifé,Joaquim Rifé Climent,Right Back,1
1973/1974,Juan Carlos,Juan Carlos Pérez López,Center Defensive Midfield,1
1973/1974,Marcial Pina,Marcial Manuel Pina Morales,Left Center Midfield,1
1973/1974,Quique Costas,Enrique Álvarez Costas,Left Center Back,1
1973/1974,Juan Manuel Asensi,Juan Manuel Asensi Ripoll,Right Center Midfield,1
1973/1974,Carles Rexach,Carles Rexach i Cerdà,Right Wing,1
1973/1974,Hugo Sotil,Hugo Alejandro Sotil Yerén,Left Wing,1
